index,common,construction,all,,,
1246,2,0,2,,,
1247,12,0,12,,,
1248,2,0,2,,,
1249,2,0,2,,,
1250,3,0,3,,,
1251,3,0,3,,,
1252,12,0,12,,,
1253,3,0,3,,,
1254,4,0,4,,,
1255,8,0,8,,,
1256,2,0,2,,,
1257,6,0,6,,,
1258,1,0,1,,,
1259,2,0,2,,,
1260,2,0,2,,,
1261,0,6,6,,,
1262,5,0,5,,,
1263,7,0,7,,,
1264,14,0,14,,,
1265,0,2,2,,,
1266,9,0,9,,,
1267,1,0,1,,,
1268,9,0,9,,,
1269,1,0,1,,,
1270,7,0,7,,,
1271,7,0,7,,,
1272,2,0,2,,,
1273,6,0,6,,,
1274,11,0,11,,,
1275,5,0,5,,,
1276,11,0,11,,,
1277,2,0,2,,,
1278,2,0,2,,,
1279,7,0,7,,,
1280,3,0,3,,,
1281,8,0,8,,,
1282,2,0,2,,,
1283,4,0,4,,,
1284,3,0,3,,,
1285,5,0,5,,,
1286,10,0,10,,,
1287,3,0,3,,,
1288,4,0,4,,,
1289,2,0,2,,,
1290,5,0,5,,,
1291,0,1,1,,,
1292,1,0,1,,,
1293,11,0,11,,,
1294,12,0,12,,,
1295,3,0,3,,,
1296,8,0,8,,,
1297,9,0,9,,,
1298,6,0,6,,,
1299,2,0,2,,,
1300,3,0,3,,,
1301,3,0,3,,,
1302,3,0,3,,,
1303,3,0,3,,,
1304,3,0,3,,,
1305,11,0,11,,,
1306,6,0,6,,,
1307,15,0,15,,,
1308,1,0,1,,,
1309,5,0,5,,,
1310,6,0,6,,,
1311,3,1,4,,,
1312,6,0,6,,,
1313,13,0,13,,,
1314,2,0,2,,,
1315,4,0,4,,,
1316,5,0,5,,,
1317,8,0,8,,,
1318,2,0,2,,,
1319,12,0,12,,,
1320,6,0,6,,,
1321,17,0,17,,,
1322,2,0,2,,,
1323,5,0,5,,,
1324,7,0,7,,,
1325,1,0,1,,,
1326,1,0,1,,,
1327,3,0,3,,,
1328,5,0,5,,,
1329,3,0,3,,,
1330,5,0,5,,,
1331,8,0,8,,,
1332,3,0,3,,,
1333,3,0,3,,,
1334,8,0,8,,,
1335,4,0,4,,,
1336,6,0,6,,,
1337,2,0,2,,,
1338,5,0,5,,,
1339,3,0,3,,,
1340,6,0,6,,,
1341,2,0,2,,,
1342,2,0,2,,,
1343,2,0,2,,,
1344,4,0,4,,,
1345,1,0,1,,,
1346,4,0,4,,,
1347,3,0,3,,,
1348,3,0,3,,,
1349,5,0,5,,,
1350,1,0,1,,,
1351,2,0,2,,,
1352,5,0,5,,,
1353,15,1,16,,,
1354,2,0,2,,,
1355,7,0,7,,,
1356,3,0,3,,,
1357,15,0,15,,,
1358,6,0,6,,,
1359,3,0,3,,,
1360,8,0,8,,,
1361,2,0,2,,,
1362,7,0,7,,,
1363,12,0,12,,,
1364,5,0,5,,,
1365,4,0,4,,,
1366,5,0,5,,,
1367,5,0,5,,,
1368,6,0,6,,,
1369,12,0,12,,,
1370,1,0,1,,,
1371,1,0,1,,,
1372,19,0,19,,,
1373,7,0,7,,,
1374,3,0,3,,,
1375,1,0,1,,,
1376,0,1,1,,,
1377,1,0,1,,,
1378,2,0,2,,,
1379,7,0,7,,,
1380,3,0,3,,,
1381,5,0,5,,,
1382,6,0,6,,,
1383,0,2,2,,,
1384,9,0,9,,,
1385,1,0,1,,,
1386,1,0,1,,,
1387,2,0,2,,,
1388,2,0,2,,,
1389,2,0,2,,,
1390,0,1,1,,,
1391,4,0,4,,,
1392,10,0,10,,,
1393,2,0,2,,,
1394,1,0,1,,,
1395,3,0,3,,,
1396,1,0,1,,,
1397,4,0,4,,,
1398,6,0,6,,,
1399,7,0,7,,,
1400,6,0,6,,,
1401,2,0,2,,,
1402,5,0,5,,,
1403,2,0,2,,,
1404,5,0,5,,,
1405,2,0,2,,,
1406,8,0,8,,,
1407,10,0,10,,,
1408,5,0,5,,,
1409,3,0,3,,,
1410,4,0,4,,,
1411,3,0,3,,,
1412,6,0,6,,,
1413,2,1,3,,,
1414,3,0,3,,,
1415,4,0,4,,,
1416,2,0,2,,,
1417,1,0,1,,,
1418,10,0,10,,,
1419,11,0,11,,,
1420,9,0,9,,,
1421,2,0,2,,,
1422,10,0,10,,,
1423,7,0,7,,,
1424,2,0,2,,,
1425,6,0,6,,,
1426,6,0,6,,,
1427,0,2,2,,,
1428,5,0,5,,,
1429,3,0,3,,,
1430,8,0,8,,,
1431,3,0,3,,,
1432,1,0,1,,,
1433,13,0,13,,,
1434,1,0,1,,,
1435,10,0,10,,,
1436,6,0,6,,,
1437,1,0,1,,,
1438,9,0,9,,,
1439,8,0,8,,,
1440,2,0,2,,,
1441,4,0,4,,,
1442,3,0,3,,,
1443,1,0,1,,,
1444,2,0,2,,,
1445,6,0,6,,,
1446,3,0,3,,,
1447,4,0,4,,,
1448,8,0,8,,,
1449,1,0,1,,,
1450,3,0,3,,,
1451,15,0,15,,,
1452,7,0,7,,,
1453,21,0,21,,,
1454,8,0,8,,,
1455,8,0,8,,,
1456,3,0,3,,,
1457,3,0,3,,,
1458,3,0,3,,,
1459,14,0,14,,,
1460,11,0,11,,,
1461,2,0,2,,,
1462,2,0,2,,,
1463,12,0,12,,,
1464,5,0,5,,,
1465,6,0,6,,,
1466,2,0,2,,,
1467,4,0,4,,,
1468,14,0,14,,,
1469,14,0,14,,,
1470,3,0,3,,,
1471,1,0,1,,,
1472,13,0,13,,,
1473,0,2,2,,,
1474,2,0,2,,,
1475,25,0,25,,,
1476,7,0,7,,,
1477,1,0,1,,,
1478,5,0,5,,,
1479,3,0,3,,,
1480,5,0,5,,,
1481,3,1,4,,,
1482,3,0,3,,,
1483,4,0,4,,,
1484,2,0,2,,,
1485,1,0,1,,,
1486,0,3,3,,,
1487,2,0,2,,,
1488,4,0,4,,,
1489,2,0,2,,,
1490,5,0,5,,,
1491,4,0,4,,,
1492,10,0,10,,,
1493,7,0,7,,,
1494,3,0,3,,,
1495,11,0,11,,,
1496,7,0,7,,,
1497,1,1,2,,,
1498,2,0,2,,,
1499,6,0,6,,,
1500,8,0,8,,,
1501,2,0,2,,,
1502,2,0,2,,,
1503,6,0,6,,,
1504,3,0,3,,,
1505,2,0,2,,,
1506,3,0,3,,,
1507,1,0,1,,,
1508,2,0,2,,,
1509,1,0,1,,,
1510,2,0,2,,,
1511,11,0,11,,,
1512,1,0,1,,,
1513,5,0,5,,,
1514,4,0,4,,,
1515,3,0,3,,,
1516,14,0,14,,,
1517,3,0,3,,,
1518,4,0,4,,,
1519,5,0,5,,,
1520,20,0,20,,,
1521,2,0,2,,,
1522,2,0,2,,,
1523,5,0,5,,,
1524,6,0,6,,,
1525,2,0,2,,,
1526,1,0,1,,,
1527,5,0,5,,,
1528,5,0,5,,,
1529,3,0,3,,,
1530,18,1,19,,,
1531,15,0,15,,,
1532,1,0,1,,,
1533,21,0,21,,,
1534,3,0,3,,,
1535,3,0,3,,,
1536,6,0,6,,,
1537,22,0,22,,,
1538,8,0,8,,,
1539,4,0,4,,,
1540,13,0,13,,,
1541,1,0,1,,,
1542,1,1,2,,,
1543,4,0,4,,,
1544,3,0,3,,,
1545,2,0,2,,,
1546,8,0,8,,,
1547,7,0,7,,,
1548,1,0,1,,,
1549,6,0,6,,,
1550,10,0,10,,,
1551,3,0,3,,,
1552,1,0,1,,,
1553,8,0,8,,,
1554,2,0,2,,,
1555,1,0,1,,,
1556,4,0,4,,,
1557,6,0,6,,,
1558,7,0,7,,,
1559,4,0,4,,,
1560,1,0,1,,,
1561,14,0,14,,,
1562,1,0,1,,,
1563,7,0,7,,,
1564,5,0,5,,,
1565,1,1,2,,,
1566,2,0,2,,,
1567,2,0,2,,,
1568,5,0,5,,,
1569,2,0,2,,,
1570,3,0,3,,,
1571,3,0,3,,,
1572,2,0,2,,,
1573,5,0,5,,,
1574,3,0,3,,,
1575,5,0,5,,,
1576,1,0,1,,,
1577,3,0,3,,,
1578,1,0,1,,,
1579,4,0,4,,,
1580,8,0,8,,,
1581,3,0,3,,,
1582,1,0,1,,,
1583,5,0,5,,,
1584,1,0,1,,,
1585,3,0,3,,,
1586,19,0,19,,,
1587,6,0,6,,,
1588,4,0,4,,,
1589,2,0,2,,,
1590,4,0,4,,,
